Repositório,Estrelas,Data da última release,Dias desde última release,Mediana
Stirling-PDF,51307,2025-02-18T17:58:33Z,"1 day, 20:35:59.505296",38
bat,51192,2025-01-07T19:08:22Z,"43 days, 19:26:10.505296",39.5
Semantic-UI,51147,2022-10-06T19:20:15Z,"867 days, 19:14:17.505296",41
material-design-icons,51125,2020-08-31T22:36:21Z,"1633 days, 15:58:11.505296",41.5
Magisk,51008,2024-12-07T01:53:44Z,"75 days, 12:40:48.505296",42
anime,50907,2023-11-28T09:30:53Z,"450 days, 5:03:39.505296",42.0
rich,50819,2024-11-02T12:15:28Z,"110 days, 2:19:04.505296",42
guava,50534,2024-12-16T22:35:44Z,"65 days, 15:58:48.505296",42.0
ripgrep,50418,2024-09-09T02:28:54Z,"164 days, 12:05:38.505296",42
pi-hole,50416,2025-02-19T16:18:30Z,22:16:02.505296,42.0
zustand,50360,2025-01-07T14:22:57Z,"44 days, 0:11:35.505296",42
minio,50284,2025-02-18T21:15:26Z,"1 day, 17:19:06.505296",42.0
kotlin,50036,2025-01-27T10:21:27Z,"24 days, 4:13:05.505296",42
prettier,49982,2025-02-13T13:14:09Z,"7 days, 1:20:23.505296",42.0
uBlock,49797,2025-01-01T13:41:41Z,"50 days, 0:52:51.505296",42
pdf.js,49778,2025-01-01T13:39:30Z,"50 days, 0:55:02.505296",42.0
jekyll,49625,2025-01-29T12:47:41Z,"22 days, 1:46:51.505296",42
bulma,49583,2024-12-27T20:28:08Z,"54 days, 18:06:24.505296",42.0
dive,49559,2024-02-02T15:44:50Z,"383 days, 22:49:42.505296",42
meilisearch,49324,2025-02-17T08:29:36Z,"3 days, 6:04:56.505296",42.0
astro,49241,2025-02-13T14:26:10Z,"7 days, 0:08:22.505296",42
DefinitelyTyped,49238,2019-09-04T18:31:00Z,"1995 days, 20:03:32.505296",42.0
rclone,48901,2025-02-14T17:10:48Z,"5 days, 21:23:44.505296",42
core,48856,2024-11-15T14:48:57Z,"96 days, 23:45:35.505296",42.0
langflow,48733,2025-02-04T21:45:10Z,"15 days, 16:49:22.505296",42
marktext,48581,2022-03-07T18:12:02Z,"1080 days, 20:22:30.505296",42.0
Ghost,48449,2025-02-14T15:17:41Z,"5 days, 23:16:51.505296",42
etcd,48441,2025-01-24T19:30:29Z,"26 days, 19:04:03.505296",42.0
go-ethereum,48414,2025-02-17T11:22:51Z,"3 days, 3:11:41.505296",42
cypress,48238,2025-02-11T20:58:49Z,"8 days, 17:35:43.505296",41.5
RxJava,48022,2024-11-26T07:10:06Z,"86 days, 7:24:26.505296",42
powerlevel10k,47972,2024-01-26T08:06:46Z,"391 days, 6:27:46.505296",42.0
clash-verge-rev,47867,2025-01-15T19:41:58Z,"35 days, 18:52:34.505296",42
joplin,47779,2025-01-23T23:52:04Z,"27 days, 14:42:28.505296",41.5
mastodon,47775,2025-01-16T10:56:06Z,"35 days, 3:38:26.505296",41
dayjs,47461,2024-08-20T14:59:54Z,"183 days, 23:34:38.505296",41.5
appwrite,47283,2025-02-03T22:36:30Z,"16 days, 15:58:02.505296",41
gitea,47200,2025-02-19T01:57:19Z,"1 day, 12:37:13.505296",39.5
ImHex,47147,2025-02-18T10:18:14Z,"2 days, 4:16:18.505296",38
OpenHands,47136,2025-02-19T19:30:21Z,19:04:11.505296,37.0
starship,47104,2025-01-11T17:05:18Z,"39 days, 21:29:14.505296",38
MetaGPT,46751,2024-04-22T10:56:23Z,"304 days, 3:38:09.505296",38.5
Motrix,46710,2023-05-03T07:13:13Z,"659 days, 7:21:19.505296",39
serverless,46591,2025-02-17T18:02:13Z,"2 days, 20:32:19.505296",38.5
PaddleOCR,46573,2024-10-22T05:57:17Z,"121 days, 8:37:15.505296",39
PowerShell,46485,2025-01-23T20:21:43Z,"27 days, 18:12:49.505296",38.5
alist,46475,2025-01-27T16:03:34Z,"23 days, 22:30:58.505296",38
julia,46438,2025-01-22T21:12:46Z,"28 days, 17:21:46.505296",37.0
AFFiNE,45827,2025-01-15T08:16:38Z,"36 days, 6:17:54.505296",36
v2ray-core,45769,2020-10-10T16:50:42Z,"1593 days, 21:43:50.505296",37.0
gogs,45500,2024-12-23T16:37:18Z,"58 days, 21:57:14.505296",38
x64dbg,45448,2025-01-17T11:46:59Z,"34 days, 2:47:33.505296",37.0
huginn,44959,2022-08-18T03:34:55Z,"917 days, 10:59:37.505296",38
quill,44655,2024-11-30T12:19:43Z,"82 days, 2:14:49.505296",38.5
pandas,44632,2024-09-20T13:10:41Z,"153 days, 1:23:51.505296",39
pixijs,44553,2025-02-11T15:43:48Z,"8 days, 22:50:44.505296",38.5
jest,44529,2023-09-12T06:46:30Z,"527 days, 7:48:02.505296",39
json,44469,2023-11-28T21:38:09Z,"449 days, 16:56:23.505296",40.0
AdminLTE,44341,2024-12-24T08:05:24Z,"58 days, 6:29:08.505296",41
terraform,44208,2025-01-22T18:40:46Z,"28 days, 19:53:46.505296",40.0
Deep-Live-Cam,44008,2025-01-25T18:03:47Z,"25 days, 20:30:45.505296",39
open-source-ios-apps,43977,2022-03-22T18:26:20Z,"1065 days, 20:08:12.505296",40.0
fuels-ts,43901,2025-02-04T20:44:32Z,"15 days, 17:50:00.505296",39
fuels-rs,43893,2025-02-13T08:22:08Z,"7 days, 6:12:24.505296",38.5
query,43870,2025-02-20T13:12:23Z,1:22:09.505296,38
pocketbase,43843,2025-02-18T16:45:42Z,"1 day, 21:48:50.505296",37.0
hyper,43724,2023-01-08T00:56:10Z,"774 days, 13:38:22.505296",38
parcel,43664,2024-12-16T18:32:49Z,"65 days, 20:01:43.505296",38.5
htmx,43630,2024-12-13T18:13:44Z,"68 days, 20:20:48.505296",39
zx,43607,2025-02-01T10:26:55Z,"19 days, 4:07:37.505296",38.5
babel,43424,2025-02-14T11:49:06Z,"6 days, 2:45:26.505296",38
Fooocus,43323,2024-08-12T06:12:31Z,"192 days, 8:22:01.505296",38.5
retrofit,43321,2024-03-28T20:01:16Z,"328 days, 18:33:16.505296",39
frontend-dev-bookmarks,43238,2016-05-21T01:00:22Z,"3197 days, 13:34:10.505296",40.0
jadx,42886,2024-11-11T22:53:33Z,"100 days, 15:40:59.505296",41
brew,42575,2025-02-17T09:41:35Z,"3 days, 4:52:57.505296",40.0
text-generation-webui,42574,2025-02-15T02:26:14Z,"5 days, 12:08:18.505296",39
react-use,42537,2024-12-09T18:57:39Z,"72 days, 19:36:53.505296",40.0
grpc,42474,2025-01-31T23:08:05Z,"19 days, 15:26:27.505296",39
react-hook-form,42466,2024-12-20T22:19:50Z,"61 days, 16:14:42.505296",40.0
lx-music-desktop,42369,2025-01-26T17:15:47Z,"24 days, 21:18:45.505296",39
Leaflet,42088,2023-05-18T11:12:03Z,"644 days, 3:22:29.505296",40.0
lazydocker,42022,2024-11-23T06:33:25Z,"89 days, 8:01:07.505296",41
Rocket.Chat,41984,2025-02-07T14:51:18Z,"12 days, 23:43:14.505296",40.0
vaultwarden,41930,2025-02-09T17:54:59Z,"10 days, 20:39:33.505296",39
pm2,41929,2024-07-08T08:47:10Z,"227 days, 5:47:22.505296",40.0
dbeaver,41830,2025-02-16T20:28:57Z,"3 days, 18:05:35.505296",39
Alamofire,41653,2024-11-25T15:11:48Z,"86 days, 23:22:44.505296",40.0
edex-ui,41603,2021-10-18T20:27:57Z,"1220 days, 18:06:35.505296",41
JeecgBoot,41582,2025-02-10T05:54:49Z,"10 days, 8:39:43.505296",40.0
yarn,41493,2024-03-09T21:42:20Z,"347 days, 16:52:12.505296",41
monaco-editor,41487,2024-12-09T15:25:54Z,"72 days, 23:08:38.505296",41.5
acme.sh,41226,2024-11-23T10:03:18Z,"89 days, 4:31:14.505296",42
prisma,41220,2025-02-18T18:35:29Z,"1 day, 19:59:03.505296",41.5
LLaMA-Factory,41168,2024-11-24T17:17:33Z,"87 days, 21:16:59.505296",42
metabase,40899,2025-02-17T18:25:38Z,"2 days, 20:08:54.505296",41.5
GPT-SoVITS,40872,2024-08-21T15:50:40Z,"182 days, 22:43:52.505296",42
pyenv,40812,2025-02-13T06:17:57Z,"7 days, 8:16:35.505296",41.5
dubbo,40739,2025-01-05T12:05:14Z,"46 days, 2:29:18.505296",42
styled-components,40676,2025-02-05T16:23:54Z,"14 days, 22:10:38.505296",41.5
swiper,40544,2025-02-14T20:18:51Z,"5 days, 18:15:41.505296",41
uv,40516,2025-02-19T19:34:11Z,19:00:21.505296,40.0
diagrams,40313,2024-11-27T08:52:03Z,"85 days, 5:42:29.505296",41
vuetify,40234,2025-02-20T05:34:42Z,8:59:50.505296,40.0
kong,40169,2024-12-13T04:17:54Z,"69 days, 10:16:38.505296",41
ailearning,40139,2017-10-09T07:21:00Z,"2691 days, 7:13:32.505296",41.5
maybe,40101,2025-01-17T22:05:19Z,"33 days, 16:29:13.505296",41
sentry,40061,2025-02-18T19:23:53Z,"1 day, 19:10:39.505296",40.0
ColossalAI,40042,2025-02-20T03:37:37Z,10:56:55.505296,39
hexo,39994,2024-07-01T14:41:17Z,"233 days, 23:53:15.505296",40.0
fastlane,39904,2024-12-10T10:50:20Z,"72 days, 3:44:12.505296",41
autogen,39841,2025-02-17T06:41:03Z,"3 days, 7:53:29.505296",40.0
black,39614,2025-01-29T04:15:11Z,"22 days, 10:19:21.505296",39
nvm-windows,39562,2025-01-01T03:06:04Z,"50 days, 11:28:28.505296",40.0
iina,39453,2024-06-01T04:35:27Z,"264 days, 9:59:05.505296",41
cobra,39410,2025-02-16T23:54:10Z,"3 days, 14:40:22.505296",40.0
fanqiang,39207,2024-08-18T07:10:04Z,"186 days, 7:24:28.505296",41
termux-app,39102,2024-06-18T00:07:53Z,"247 days, 14:26:39.505296",41.5
llama_index,39095,2025-02-18T01:25:25Z,"2 days, 13:09:07.505296",41
ClickHouse,39091,2025-02-19T21:21:59Z,17:12:33.505296,40.0
tldraw,38926,2025-02-13T13:35:47Z,"7 days, 0:58:45.505296",39
materialize,38868,2018-09-09T22:16:00Z,"2355 days, 16:18:32.505296",40.0
airflow,38866,2025-02-10T13:58:19Z,"10 days, 0:36:13.505296",39
tabler,38750,2025-01-28T21:22:50Z,"22 days, 17:11:42.505296",38.5
php-src,38690,2025-02-13T18:51:41Z,"6 days, 19:42:51.505296",38
vllm,38657,2025-02-06T07:30:12Z,"14 days, 7:04:20.505296",37.0
esbuild,38581,2025-02-08T03:03:22Z,"12 days, 11:31:10.505296",36
v2rayNG,38575,2025-01-25T05:46:37Z,"26 days, 8:47:55.505296",36.0
chakra-ui,38546,2025-02-19T18:17:06Z,20:17:26.505296,36
video.js,38435,2024-12-05T21:50:20Z,"76 days, 16:44:12.505296",36.0
cli,38324,2025-02-11T19:54:35Z,"8 days, 18:39:57.505296",36
ragflow,38184,2025-02-06T11:45:17Z,"14 days, 2:49:15.505296",35.5
anything-llm,38131,2025-02-18T01:15:43Z,"2 days, 13:18:49.505296",35
bevy,38021,2025-02-06T23:06:30Z,"13 days, 15:28:02.505296",35.0
mitmproxy,37981,2025-02-17T12:03:22Z,"3 days, 2:31:10.505296",35
tidb,37947,2025-01-17T07:29:50Z,"34 days, 7:04:42.505296",34.5
whisper.cpp,37897,2025-01-06T13:16:31Z,"45 days, 1:18:01.505296",35
FastChat,37857,2024-02-11T15:40:27Z,"374 days, 22:54:05.505296",35.0
TTS,37847,2023-12-12T15:11:16Z,"435 days, 23:23:16.505296",35
MPAndroidChart,37818,2019-03-20T16:54:58Z,"2163 days, 21:39:34.505296",35.5
typst,37726,2025-02-19T16:25:41Z,22:08:51.505296,35
impress.js,37710,2022-07-22T10:29:41Z,"944 days, 4:04:51.505296",35.5
streamlit,37617,2025-02-17T21:21:02Z,"2 days, 17:13:30.505296",35
phaser,37574,2025-02-13T21:01:20Z,"6 days, 17:33:12.505296",35.0
gorm,37553,2021-03-04T11:37:30Z,"1449 days, 2:57:02.505296",35
EasySpider,37552,2025-01-01T07:02:48Z,"50 days, 7:31:44.505296",35.5
coolify,37518,2025-02-17T09:17:09Z,"3 days, 5:17:23.505296",35
zig,37498,2024-06-07T06:02:54Z,"258 days, 8:31:38.505296",35.5
WeChatMsg,37392,2025-01-02T13:14:29Z,"49 days, 1:20:03.505296",36
quivr,37342,2025-02-04T10:18:50Z,"16 days, 4:15:42.505296",35.5
jellyfin,37325,2025-02-16T21:55:45Z,"3 days, 16:38:47.505296",35
Open-Assistant,37237,2023-11-25T16:11:35Z,"452 days, 22:22:57.505296",35.5
TrafficMonitor,37210,2025-02-10T09:12:43Z,"10 days, 5:21:49.505296",35
preact,37167,2025-02-18T11:33:01Z,"2 days, 3:01:31.505296",35.0
memos,37136,2025-02-05T13:34:09Z,"15 days, 1:00:23.505296",35
leveldb,37115,2021-02-23T21:51:12Z,"1457 days, 16:43:20.505296",35.0
shellcheck,36953,2024-03-08T02:37:35Z,"349 days, 11:56:57.505296",35
jsoncrack.com,36945,2023-12-17T19:10:10Z,"430 days, 19:24:22.505296",35.5
DeepSpeed,36872,2025-02-20T15:25:19Z,"-1 day, 23:09:13.505296",35
curl,36870,2025-02-13T07:22:05Z,"7 days, 7:12:27.505296",35.0
ant-design-pro,36818,2022-06-27T04:38:23Z,"969 days, 9:56:09.505296",35
ultralytics,36783,2025-02-20T12:43:52Z,1:50:40.505296,35.0
aria2,36722,2023-11-15T12:07:32Z,"463 days, 2:27:00.505296",35
freqtrade,36534,2025-01-31T05:24:13Z,"20 days, 9:10:19.505296",35.0
tmux,36533,2024-10-05T06:30:51Z,"138 days, 8:03:41.505296",35
penpot,36532,2025-01-30T13:37:42Z,"21 days, 0:56:50.505296",35.0
