Repositório,Estrelas,Total de Releases,Mediana
uni-app,40426,0,35.5
diagrams,40313,43,36
LLMs-from-scratch,40251,0,35.5
vuetify,40234,577,36
CPlusPlusThings,40222,0,35.5
kong,40177,144,36
stablediffusion,40146,0,35.5
ailearning,40139,2,35
maybe,40111,23,34.5
ColossalAI,40070,48,35
sentry,40063,145,35.5
hexo,39995,114,36
fastlane,39905,548,36.0
autogen,39851,75,36
black,39614,46,36.5
nvm-windows,39565,23,36
nanoGPT,39479,0,36.0
iina,39453,44,36
cobra,39423,24,36.0
fanqiang,39208,3,36
termux-app,39102,91,36.0
ClickHouse,39097,626,36
llama_index,39096,360,36.5
cheat.sh,38969,0,36
tldraw,38927,59,36.5
materialize,38869,41,37
airflow,38867,93,37.0
Deep-Learning-Papers-Reading-Roadmap,38774,0,37
tabler,38752,47,37.0
php-src,38689,7,37
bert,38673,0,36.5
vllm,38666,50,37
esbuild,38582,292,37.0
v2rayNG,38576,226,37
chinese-independent-developer,38576,0,37.0
chakra-ui,38549,1000,37
video.js,38437,328,37.0
wrk,38432,0,37
cli,38326,156,37.0
50projects50days,38248,0,37
markitdown,38222,3,37.0
ragflow,38197,21,37
Made-With-ML,38196,0,36.5
anything-llm,38144,11,36
bevy,38022,35,36.0
mitmproxy,37985,72,36
English-level-up-tips,37952,0,36.0
tidb,37948,205,36
whisper.cpp,37903,24,36.0
styleguide,37863,0,36
FastChat,37858,14,35.5
TTS,37855,98,36
zju-icicles,37836,0,35.5
MPAndroidChart,37818,44,36
typst,37742,21,35.5
impress.js,37711,15,35
streamlit,37622,92,35.5
phaser,37574,164,36
gorm,37555,2,35.5
EasySpider,37552,10,35
coolify,37529,588,35.5
zig,37501,18,35
vim,37493,0,35.0
expo,37486,0,35
awesome-compose,37475,0,34.5
WeChatMsg,37393,33,34
quivr,37341,354,34.5
jellyfin,37330,85,35
free,37301,0,34.5
Open-Assistant,37238,127,35
TrafficMonitor,37213,26,34.5
freecodecamp.cn,37179,0,34
preact,37166,221,34.5
memos,37139,75,35
leveldb,37115,21,34.5
tutorials,37021,0,34
bark,36993,0,34.0
shellcheck,36954,29,34
jsoncrack.com,36953,20,33.5
python-cheatsheet,36874,0,33
curl,36872,87,33.5
DeepSpeed,36872,87,34
ant-design-pro,36818,26,33.5
interview_internal_reference,36794,0,33
pure-bash-bible,36794,0,33.0
ultralytics,36787,152,33
awesome-remote-job,36780,0,33.0
aria2,36723,24,33
freqtrade,36542,94,33.0
tmux,36537,37,33
penpot,36532,46,33.5
istio,36504,372,34
photoprism,36488,71,34.0
GFPGAN,36341,8,34
novu,36309,40,34.0
JavaFamily,36291,0,34
Summer2025-Internships,36242,0,33.5
gradio,36219,1000,34
OpenBB,36212,42,34.0
manifesto,36126,0,34
AI-For-Beginners,36113,0,33.5
aspnetcore,36108,243,34
Files,36085,123,34.0
taro,36085,186,34
v,36072,246,34.5
trpc,36072,200,35
deeplearningbook-chinese,36067,7,34.5
GitHubDaily,36051,0,34
tesseract.js,36029,55,34.5
wtfpython,36028,2,34
arthas,35991,58,34.5
ruff,35988,348,35
helix,35960,28,34.5
wtfjs,35949,25,34
pandoc,35920,143,34.5
og-aws,35886,0,34
DragGAN,35861,0,34.0
lerna,35840,240,34
MockingBird,35814,1,34.0
devdocs,35771,0,34
appsmith,35721,267,34.0
insomnia,35692,495,34
zod,35675,92,34.5
fd,35633,40,35
ray,35536,100,35.0
daisyui,35507,53,35
shadowsocks-android,35486,185,35.5
hello-algorithm,35474,0,35
googletest,35472,10,35.0
interview,35440,0,35
gym,35427,19,34.5
sheetjs,35399,0,34
fullPage.js,35389,101,34.5
koa,35346,2,34
Flowise,35333,62,34.5
date-fns,35331,122,35
RSSHub,35302,0,34.5
spotube,35239,37,35
lottie-android,35200,55,35.0
nativefier,35084,99,35
fiber,35065,124,35.5
upscayl,35013,29,35
Awesome-Design-Tools,34991,0,35.0
logseq,34988,147,35
955.WLB,34984,0,35.0
lapce,34983,31,35
hackathon-starter,34982,16,34.5
slidev,34969,380,35
google-research,34956,0,34.5
Pake,34940,31,34
awesome-react-native,34936,0,34.0
carbon,34907,215,34
typeorm,34895,32,34.0
metasploit-framework,34852,0,34
cli,34815,47,34.0
chatgpt-on-wechat,34802,61,34
glide,34785,47,34.5
halo,34781,207,35
compose,34770,246,35.0
ToolJet,34752,283,35
the-way-to-go_ZH_CN,34742,0,35.0
ccxt,34677,137,35
ChatTTS,34551,5,35.0
vim-plug,34548,8,35
system-design,34545,0,34.5
TaskMatrix,34539,0,34
HanLP,34441,62,34.5
node-v0.x-archive,34411,0,34
caffe,34228,14,34.0
formik,34149,196,34
cal.com,34146,387,34.5
clipboard.js,34107,42,35
12306,34010,1,34.5
awesome-javascript,33984,0,34
gold-miner,33949,0,34.0
nushell,33938,104,34
marked,33898,146,34.5
spacedrive,33892,25,34
REKCARC-TSC-UHT,33862,0,34.0
netty,33804,0,34
awesome-shell,33777,0,33.5
jieba,33707,9,33
react-beautiful-dnd,33668,68,33.5
shadowsocks,33602,2,33
Langchain-Chatchat,33563,31,33.0
AndroidUtilCode,33455,117,33
spring-boot-demo,33390,0,33.0
sqlmap,33359,10,33
AFNetworking,33351,40,33.0
LeetCode-Go,33337,4,33
brackets,33233,69,33.0
pytorch-image-models,33222,64,33
XX-Net,33166,388,33.5
