Repositório,Estrelas,Linguagem Primária,Linguagem Primária é Top-10?,Percentual que utiliza linguagem popular
autogen,39844,Python,Sim,0.783068783068783
black,39614,Python,Sim,0.783641160949868
nvm-windows,39563,Go,Sim,0.7842105263157895
nanoGPT,39474,Python,Sim,0.7847769028871391
iina,39453,Swift,Não,0.7827225130890052
cobra,39412,Go,Sim,0.783289817232376
fanqiang,39207,Kotlin,Não,0.78125
termux-app,39102,Java,Sim,0.7818181818181819
llama_index,39095,Python,Sim,0.7823834196891192
ClickHouse,39092,C++,Sim,0.7829457364341085
cheat.sh,38967,Python,Sim,0.7835051546391752
tldraw,38926,TypeScript,Sim,0.7840616966580977
materialize,38868,JavaScript,Sim,0.7846153846153846
airflow,38866,Python,Sim,0.7851662404092071
Deep-Learning-Papers-Reading-Roadmap,38773,Python,Sim,0.7857142857142857
tabler,38752,HTML,Não,0.7837150127226463
php-src,38690,C,Sim,0.7842639593908629
bert,38671,Python,Sim,0.7848101265822784
vllm,38658,Python,Sim,0.7853535353535354
esbuild,38581,Go,Sim,0.7858942065491183
v2rayNG,38575,Kotlin,Não,0.7839195979899497
chinese-independent-developer,38575,Sem informação,Sem informação,0.7839195979899497
chakra-ui,38547,TypeScript,Sim,0.7844611528822055
video.js,38435,JavaScript,Sim,0.785
wrk,38428,C,Sim,0.7855361596009975
cli,38324,Go,Sim,0.7860696517412935
50projects50days,38247,CSS,Não,0.7841191066997518
markitdown,38203,HTML,Não,0.7821782178217822
Made-With-ML,38195,Jupyter Notebook,Não,0.7802469135802469
ragflow,38185,TypeScript,Sim,0.7807881773399015
anything-llm,38132,JavaScript,Sim,0.7813267813267813
bevy,38021,Rust,Não,0.7794117647058824
mitmproxy,37981,Python,Sim,0.7799511002444988
English-level-up-tips,37952,HTML,Não,0.7780487804878049
tidb,37947,Go,Sim,0.7785888077858881
whisper.cpp,37898,C++,Sim,0.779126213592233
styleguide,37862,HTML,Não,0.7772397094430993
FastChat,37857,Python,Sim,0.7777777777777778
TTS,37849,Python,Sim,0.7783132530120482
zju-icicles,37836,HTML,Não,0.7764423076923077
MPAndroidChart,37818,Java,Sim,0.7769784172661871
typst,37729,Rust,Não,0.7751196172248804
impress.js,37710,JavaScript,Sim,0.7756563245823389
streamlit,37618,Python,Sim,0.7761904761904762
phaser,37574,JavaScript,Sim,0.7767220902612827
gorm,37553,Go,Sim,0.7772511848341233
EasySpider,37552,JavaScript,Sim,0.7777777777777778
coolify,37519,PHP,Sim,0.7783018867924528
zig,37498,Zig,Não,0.7764705882352941
vim,37491,Vim Script,Não,0.7746478873239436
expo,37481,TypeScript,Sim,0.775175644028103
awesome-compose,37469,HTML,Não,0.7733644859813084
WeChatMsg,37392,Python,Sim,0.7738927738927739
quivr,37341,Python,Sim,0.7744186046511627
jellyfin,37325,C#,Sim,0.7749419953596288
free,37301,Sem informação,Sem informação,0.7749419953596288
Open-Assistant,37237,Python,Sim,0.7754629629629629
TrafficMonitor,37211,C++,Sim,0.7759815242494227
freecodecamp.cn,37179,CSS,Não,0.7741935483870968
preact,37167,JavaScript,Sim,0.774712643678161
memos,37136,Go,Sim,0.7752293577981652
leveldb,37115,C++,Sim,0.7757437070938215
tutorials,37021,Java,Sim,0.776255707762557
bark,36994,Jupyter Notebook,Não,0.7744874715261959
shellcheck,36953,Haskell,Não,0.7727272727272727
jsoncrack.com,36945,TypeScript,Sim,0.7732426303854876
